LFP_Left,LFP_Right
-3.960634763737145,-1.6208425126781272
-5.040382250948889,-0.4469292668990432
-4.5708946270430655,0.7803346301759516
-4.281964780695788,1.5675781755335738
-6.5932921377744345,0.8754881798342853
-4.489984039061412,-0.9272294773200271
-0.805159992878474,-3.9475512450269807
-0.380340224797791,-4.689303260168505
-1.059846631224652,-3.4821342315547628
-5.521505183004309,-5.5940608853954386
-7.81771288598882,-8.146864181709036
-4.59217142059213,-8.6590090807867
-4.947302079403025,-8.58258311039613
-8.366487903438788,-6.657813009548023
-12.871175138009399,-6.152558390459486
-14.180558198174236,-7.049888057033969
-10.502376224184532,-7.169249644448798
-9.172444397542712,-8.355827373555972
-10.855551450646635,-10.21793288571362
-11.090635072991333,-8.393601654474793
-9.012720761487266,-4.281335387014083
-5.671592392288095,-4.658260890912905
-6.34417581522139,-7.624408188683601
-10.509963370875848,-9.398643904017876
-13.521806827938741,-10.82612703947185
-13.076170598296398,-9.249862055614496
-10.552493182796862,-7.758639130886495
-9.90663468230163,-7.027763794009415
-10.850114131072447,-4.931777039452053
-12.700086395444147,-5.002567494199582
-12.562258383441263,-4.205232692335772
-7.4546379600527395,-2.148811463712543
-5.15294908426375,-2.7446607400711205
-6.63601611385993,-4.753627349121183
-7.186161674684472,-6.1082936064839
-9.52497483908685,-5.164721176058746
-11.142465851573462,-4.214639977683646
-8.36269595255842,-3.821259126830593
-4.462199592829375,-2.8743637823725723
-5.505615872938436,-3.6349027328015904
-9.792737605583268,-4.028786583129211
-12.653812073014654,-3.2453736414404633
-16.073458629585136,-2.647178288144332
-14.99646866628241,-2.8493099325594695
-7.801757161359654,-4.95552546747229
-5.750111765840076,-5.478997632026763
-9.441672371586911,-4.051018982280185
-12.442175641513797,-4.691345904893899
-11.655791016274165,-6.3629330102348485
-9.239347359636234,-8.717483803431858
-10.046820698165126,-10.07935965276538
-10.789491743324852,-7.601313084521577
-10.688621041520662,-6.07139164310384
-11.916516708747345,-7.55733294991227
-9.26825060282514,-7.954158852496121
-5.330415744880707,-7.98863131313723
-5.049967774988521,-8.768085820528853
-5.273253996372453,-8.939424109474915
-5.12147924490396,-8.966694925675768
-5.952828195123065,-7.493227225873533
-7.662430774706445,-4.771797671325336
-7.078968323351955,-4.573736726053088
-5.9568512667107365,-4.255119681471374
-7.21103003160009,-1.412377412231777
-6.570779186074422,0.27722130520506816
-6.756505225376524,1.8328029465738476
-7.710697389318635,3.908025805270329
-3.8292468328506266,5.098161811715093
-1.0544234090459486,6.609528368883915
-3.5852229972213543,6.5867589008126295
-6.477141641007829,5.493766378650508
-5.38335787120739,4.103074980601743
-3.0768118532997093,1.8952245386300575
-3.994629566794448,3.618573704133515
-6.871894789203723,5.877490211545809
-7.030479040697033,3.5291514887768143
-0.8500587110011526,2.064614790425541
5.990551019810812,2.5050879273349036
