ExperimentName	Subject	Session	SessionDate	SessionTime	LineNumber	RunningSample	ACC	CRESP	RESP	RT	CurrentObject	ComponentName	CurrentFixationDuration	CursorX	CursorY	RTTime	RTTimeMicro	RTTimeReceived	RTTimeReceivedMicro	SystemTimestamp	HardwareTimestamp	HostTimestamp	SEQD	SEQH	GazePointValidityLeftEye	GazePointPositionDisplayXLeftEye	GazePointPositionDisplayYLeftEye	GazePointValidityRightEye	GazePointPositionDisplayXRightEye	GazePointPositionDisplayYRightEye	GazePointPositionUserXLeftEye	GazePointPositionUserYLeftEye	GazePointPositionUserZLeftEye	GazePointPositionUserXRightEye	GazePointPositionUserYRightEye	GazePointPositionUserZRightEye	GazeOriginValidityLeftEye	GazeOriginPositionUserXLeftEye	GazeOriginPositionUserYLeftEye	GazeOriginPositionUserZLeftEye	GazeOriginValidityRightEye	GazeOriginPositionUserXRightEye	GazeOriginPositionUserYRightEye	GazeOriginPositionUserZRightEye	GazeOriginPositionTrackBoxXLeftEye	GazeOriginPositionTrackBoxYLeftEye	GazeOriginPositionTrackBoxZLeftEye	GazeOriginPositionTrackBoxXRightEye	GazeOriginPositionTrackBoxYRightEye	GazeOriginPositionTrackBoxZRightEye	PupilValidityLeftEye	PupilDiameterLeftEye	PupilValidityRightEye	PupilDiameterRightEye	Digit
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	1	1	0			0			0	675	465	52997	52997221	53006	53006104	2918730813	2806700597	2918739696	132	1116	1	0.66661	0.57571	1	0.65219	0.63607	64.29977	95.98635	28.09911	59.33972	83.79153	23.66062	1	-51.77338	-82.40493	726.51038	1	18.39594	-89.54781	728.97437	0.59467	0.65082	0.66600	0.46617	0.66336	0.66937	1	3.59126	1	3.89417	3
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	2	1	0			0	Fixation		0	670	463	53014	53014313	53023	53023447	2918747904	2806717688	2918757038	133	1117	1	0.66723	0.56781	1	0.64312	0.63807	64.51475	97.58174	28.67982	56.22190	83.38902	23.51411	1	-51.80515	-82.45927	726.67224	1	18.36770	-89.59515	729.15344	0.59471	0.65088	0.66634	0.46623	0.66340	0.66973	1	3.60086	1	3.84256	3
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	3	1	0			0	Fixation		16	669	457	53030	53030639	53038	53038750	2918764231	2806734015	2918772342	134	1118	1	0.66950	0.54904	1	0.63762	0.64134	65.29623	101.37479	30.06041	54.32786	82.72707	23.27316	1	-51.82340	-82.53259	726.86218	1	18.37007	-89.65511	729.33496	0.59472	0.65098	0.66673	0.46624	0.66347	0.67011	1	3.59999	1	3.86465	3
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	4	1	0			0	Fixation		33	669	460	53047	53047188	53055	53055773	2918780780	2806750563	2918789365	135	1119	1	0.66638	0.55527	1	0.64074	0.64353	64.22221	100.11687	29.60253	55.40320	82.28551	23.11243	1	-51.83856	-82.56873	727.03485	1	18.36731	-89.69457	729.48889	0.59472	0.65101	0.66708	0.46625	0.66351	0.67042	1	3.59993	1	3.87747	3
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	5	1	0			0	Fixation		50	670	460	53064	53064325	53074	53074269	2918797917	2806767700	2918807861	136	1120	1	0.65916	0.56332	1	0.64970	0.63712	61.73780	98.49048	29.01056	58.48497	83.58089	23.58389	1	-51.86333	-82.60654	727.34033	1	18.36650	-89.75667	729.83771	0.59473	0.65101	0.66770	0.46627	0.66354	0.67113	1	3.61310	1	3.90849	3
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	6	1	0			0	Fixation		66	674	459	53080	53080560	53088	53088698	2918814152	2806783935	2918822290	137	1121	1	0.66289	0.56550	1	0.65475	0.63073	63.02003	98.05035	28.85038	60.22137	84.87190	24.05381	1	-51.90538	-82.61599	727.76855	1	18.35450	-89.77224	730.22070	0.59475	0.65094	0.66856	0.46631	0.66349	0.67189	1	3.61664	1	3.92126	3
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	7	1	0			0	Fixation		83	691	459	53097	53097058	53105	53105808	2918830650	2806800433	2918839400	138	1122	1	0.66240	0.57431	1	0.68819	0.62250	62.85344	96.26887	28.20197	71.72479	86.53390	24.65874	1	-51.93085	-82.59963	727.95581	1	18.33700	-89.76614	730.42413	0.59477	0.65087	0.66893	0.46635	0.66343	0.67230	1	3.62517	1	4.01457	3
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	8	1	0			0	Fixation		100	687	455	53114	53114143	53123	53123262	2918847735	2806817518	2918856854	139	1123	1	0.65716	0.56381	1	0.68589	0.62262	61.05130	98.39046	28.97414	70.93439	86.50871	24.64954	1	-51.97932	-82.58166	728.15088	1	18.30607	-89.73192	730.63733	0.59484	0.65080	0.66932	0.46641	0.66332	0.67271	1	3.62526	1	4.03978	3
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	9	1	0			0	Fixation		116	685	458	53130	53130480	53138	53138980	2918864072	2806833855	2918872572	140	1124	1	0.65274	0.56712	1	0.68675	0.62611	59.53028	97.72148	28.73069	71.22761	85.80529	24.39354	1	-52.02781	-82.56869	728.19415	1	18.26153	-89.71209	730.67639	0.59492	0.65077	0.66941	0.46650	0.66327	0.67278	1	3.64453	1	4.04440	3
DigitSpanBackward v3.3	6	4	03-05-2026	14:48:37	10	1	0			0	Fixation		133	672	458	53147	53147024	53155	53155859	2918880616	2806850399	2918889451	141	1125	1	0.65285	0.56189	1	0.66142	0.63084	59.56846	98.77970	29.11584	62.51447	84.84803	24.04513	1	-52.06823	-82.58308	728.20905	1	18.24089	-89.71326	730.69287	0.59499	0.65079	0.66945	0.46653	0.66327	0.67281	1	3.66267	1	4.03287	3
