trial,digits,acc,cresp,resp,window,stim_label,is_stim_on,is_stim_off,is_transition,pct_on,n_samples,rms,mean_pow,auc,t_start,t_end,session,subject,date
1,2,1,23,23,encoding,STIM OFF,False,True,False,0.0,8,0.07071067811865477,0.005000000000000001,0.15000000000000002,30005.0,34044.0,3,6,03-05-2026
1,2,1,23,23,response,STIM OFF,False,True,False,0.0,2,0.07071067811865477,0.005000000000000001,0.025,34044.0,35440.0,3,6,03-05-2026
1,2,1,23,23,feedback,STIM OFF,False,True,False,0.0,3,0.05773502691896258,0.003333333333333334,0.025,35440.0,36952.0,3,6,03-05-2026
2,2,1,54,54,encoding,STIM OFF,False,True,False,0.0,9,0.07453559924999299,0.005555555555555557,0.2,36952.0,41006.0,3,6,03-05-2026
2,2,1,54,54,response,STIM OFF,False,True,False,0.0,3,0.1,0.010000000000000002,0.1,41006.0,42526.0,3,6,03-05-2026
2,2,1,54,54,feedback,STIM OFF,False,True,False,0.0,3,0.2,0.04000000000000001,0.2,42526.0,44035.0,3,6,03-05-2026
3,3,1,151,151,encoding,STIM ON,True,False,False,0.75,12,3.9842397852873597,15.874166666666666,19.599999999999998,44035.0,50169.0,3,6,03-05-2026
3,3,1,151,151,response,STIM OFF,False,True,False,0.0,6,0.08164965809277261,0.006666666666666668,0.15,50169.0,53292.0,3,6,03-05-2026
3,3,1,151,151,feedback,STIM OFF,False,True,False,0.0,3,0.1,0.010000000000000002,0.1,53292.0,54802.0,3,6,03-05-2026
4,3,0,423,432,encoding,TRANSITION (encoding→response),False,False,True,0.5,12,3.196612790647834,10.218333333333332,13.925,54802.0,60877.0,3,6,03-05-2026
4,3,0,423,432,response,STIM OFF,False,True,False,0.0,6,0.12247448713915893,0.015000000000000005,0.275,60877.0,63918.0,3,6,03-05-2026
4,3,0,423,432,feedback,STIM OFF,False,True,False,0.0,3,0.17320508075688776,0.03000000000000001,0.17500000000000002,63918.0,65427.0,3,6,03-05-2026
5,3,0,435,434,encoding,STIM OFF,False,True,False,0.0,13,0.15442199922988256,0.02384615384615385,0.8750000000000001,65427.0,71531.0,3,6,03-05-2026
5,3,0,435,434,response,STIM OFF,False,True,False,0.0,8,0.15811388300841897,0.025000000000000005,0.5,71531.0,75806.0,3,6,03-05-2026
5,3,0,435,434,feedback,STIM OFF,False,True,False,0.0,3,0.17320508075688776,0.03000000000000001,0.17500000000000002,75806.0,77344.0,3,6,03-05-2026
6,3,1,521,521,encoding,STIM OFF,False,True,False,0.0,12,0.24324199198877375,0.059166666666666666,1.225,77344.0,83423.0,3,6,03-05-2026
6,3,1,521,521,response,STIM OFF,False,True,False,0.0,7,0.45981362684088806,0.21142857142857144,1.375,83423.0,86779.0,3,6,03-05-2026
6,3,1,521,521,feedback,STIM ON,True,False,False,1.0,3,4.433583952815901,19.65666666666667,4.425000000000001,86779.0,88289.0,3,6,03-05-2026
7,3,0,423,432,encoding,STIM ON,True,False,False,0.8333333333333334,12,4.0997967429292554,16.808333333333334,21.349999999999998,88289.0,94381.0,3,6,03-05-2026
7,3,0,423,432,response,STIM OFF,False,True,False,0.0,5,0.14832396974191325,0.022000000000000002,0.275,94381.0,96606.0,3,6,03-05-2026
7,3,0,423,432,feedback,STIM OFF,False,True,False,0.0,3,0.17320508075688776,0.03000000000000001,0.17500000000000002,96606.0,98114.0,3,6,03-05-2026
8,3,1,141,141,encoding,STIM OFF,False,True,False,0.0,12,0.15000000000000002,0.022500000000000006,0.7750000000000001,98114.0,104181.0,3,6,03-05-2026
8,3,1,141,141,response,STIM OFF,False,True,False,0.0,6,0.27688746209726917,0.07666666666666667,0.6499999999999999,104181.0,107454.0,3,6,03-05-2026
8,3,1,141,141,feedback,STIM ON,True,False,False,1.0,3,4.467661580737736,19.96,4.45,107454.0,108964.0,3,6,03-05-2026
