trial,digits,acc,cresp,resp,window,stim_label,is_stim_on,is_stim_off,is_transition,pct_on,n_samples,rms,mean_pow,auc,t_start,t_end,session,subject,date
9,3,0,523,532,encoding,STIM OFF,False,True,False,0.15384615384615385,13,1.8055470085267786,3.259999999999999,3.7249999999999996,108964.0,115056.0,3,6,03-05-2026
9,3,0,523,532,response,STIM OFF,False,True,False,0.0,6,0.08164965809277261,0.006666666666666668,0.15,115056.0,118355.0,3,6,03-05-2026
9,3,0,523,532,feedback,STIM OFF,False,True,False,0.0,3,0.14142135623730953,0.020000000000000004,0.125,118355.0,119865.0,3,6,03-05-2026
10,3,1,152,152,encoding,STIM OFF,False,True,False,0.08333333333333333,12,1.3625955623979797,1.8566666666666665,2.8,119865.0,125956.0,3,6,03-05-2026
10,3,1,152,152,response,STIM ON,True,False,False,1.0,6,4.616817085395521,21.314999999999998,11.524999999999999,125956.0,128748.0,3,6,03-05-2026
10,3,1,152,152,feedback,TRANSITION (response→feedback),False,False,True,0.6666666666666666,3,3.837968212479098,14.730000000000002,3.55,128748.0,130256.0,3,6,03-05-2026
11,3,0,534,543,encoding,STIM OFF,False,True,False,0.0,12,0.07637626158259733,0.005833333333333334,0.325,130256.0,136327.0,3,6,03-05-2026
11,3,0,534,543,response,STIM OFF,False,True,False,0.0,8,0.03535533905932738,0.0012500000000000002,0.05,136327.0,140249.0,3,6,03-05-2026
11,3,0,534,543,feedback,STIM OFF,False,True,False,0.0,3,0.05773502691896258,0.003333333333333334,0.025,140249.0,141760.0,3,6,03-05-2026
12,3,0,342,324,encoding,STIM OFF,False,True,False,0.0,12,0.09574271077563382,0.009166666666666668,0.375,141760.0,147869.0,3,6,03-05-2026
12,3,0,342,324,response,TRANSITION (encoding→response→feedback),False,False,True,0.5714285714285714,7,3.385895112711809,11.464285714285714,8.05,147869.0,151274.0,3,6,03-05-2026
12,3,0,342,324,feedback,TRANSITION (response→feedback),False,False,True,0.3333333333333333,3,2.6564387187862373,7.056666666666666,1.1749999999999998,151274.0,152785.0,3,6,03-05-2026
13,3,1,131,131,encoding,STIM OFF,False,True,False,0.0,12,0.08164965809277261,0.006666666666666668,0.35,152785.0,158877.0,3,6,03-05-2026
13,3,1,131,131,response,STIM OFF,False,True,False,0.0,4,0.13228756555322954,0.0175,0.17500000000000002,158877.0,160833.0,3,6,03-05-2026
13,3,1,131,131,feedback,STIM OFF,False,True,False,0.0,3,0.23804761428476168,0.05666666666666667,0.225,160833.0,162344.0,3,6,03-05-2026
14,3,1,245,245,encoding,STIM OFF,False,True,False,0.0,12,0.26299556396765833,0.06916666666666667,1.4249999999999998,162344.0,168419.0,3,6,03-05-2026
14,3,1,245,245,response,STIM OFF,False,True,False,0.0,5,0.2,0.04000000000000001,0.4,168419.0,170624.0,3,6,03-05-2026
14,3,1,245,245,feedback,STIM ON,True,False,False,1.0,3,4.5,20.25,4.5,170624.0,172135.0,3,6,03-05-2026
