Time,Time_ms,Event,Block,Trial_In_Block,Event_Type,Trial_Number,Sample_Index,Time_Relative,Valid,ACC,CRESP,RESP,Num_Digits,Window
-1624.796,18977,6.0,,,Session Start,,-406199,-1624.796,False,,,,,
-1594.792,48982,8.0,1.0,1.0,Main Trial Start,1,-398698,-1594.792,False,1,23,23,2.0,
-1594.792,48982,1.0,1.0,1.0,Fixation Start,1,-398698,-1594.792,False,1,23,23,2.0,
-1594.78,48993,2.0,1.0,1.0,Fixation End,1,-398695,-1594.78,False,1,23,23,2.0,
-1593.784,49991,10.0,1.0,1.0,Stimulus Start,1,-398446,-1593.784,False,1,23,23,2.0,Stimulus
-1592.776,50996,11.0,1.0,1.0,Stimulus End,1,-398194,-1592.776,False,1,23,23,2.0,Stimulus
-1592.776,50996,1.0,1.0,1.0,Fixation Start,1,-398194,-1592.776,False,1,23,23,2.0,Stimulus
-1592.756,51018,2.0,1.0,1.0,Fixation End,1,-398189,-1592.756,False,1,23,23,2.0,Stimulus
-1591.756,52016,10.0,1.0,1.0,Stimulus Start,1,-397939,-1591.756,False,1,23,23,2.0,Stimulus
-1590.752,53021,11.0,1.0,1.0,Stimulus End,1,-397688,-1590.752,False,1,23,23,2.0,Stimulus
-1590.752,53021,12.0,1.0,1.0,Choice Start,1,-397688,-1590.752,False,1,23,23,2.0,Choice
-1589.356,54417,13.0,1.0,1.0,Choice End,1,-397339,-1589.356,False,1,23,23,2.0,Choice
-1589.356,54417,14.0,1.0,1.0,Feedback Start,1,-397339,-1589.356,False,1,23,23,2.0,
-1587.844,55929,15.0,1.0,1.0,Feedback End,1,-396961,-1587.844,False,1,23,23,2.0,
-1587.844,55929,9.0,1.0,1.0,Main Trial End,1,-396961,-1587.844,False,1,23,23,2.0,
-1587.844,55929,8.0,1.0,2.0,Main Trial Start,2,-396961,-1587.844,False,1,54,54,2.0,
-1587.844,55929,1.0,1.0,2.0,Fixation Start,2,-396961,-1587.844,False,1,54,54,2.0,
-1587.824,55951,2.0,1.0,2.0,Fixation End,2,-396956,-1587.824,False,1,54,54,2.0,
-1586.824,56950,10.0,1.0,2.0,Stimulus Start,2,-396706,-1586.824,False,1,54,54,2.0,Stimulus
-1585.82,57954,11.0,1.0,2.0,Stimulus End,2,-396455,-1585.82,False,1,54,54,2.0,Stimulus
-1585.82,57954,1.0,1.0,2.0,Fixation Start,2,-396455,-1585.82,False,1,54,54,2.0,Stimulus
-1585.792,57980,2.0,1.0,2.0,Fixation End,2,-396448,-1585.792,False,1,54,54,2.0,Stimulus
-1584.792,58979,10.0,1.0,2.0,Stimulus Start,2,-396198,-1584.792,False,1,54,54,2.0,Stimulus
-1583.792,59983,11.0,1.0,2.0,Stimulus End,2,-395948,-1583.792,False,1,54,54,2.0,Stimulus
-1583.792,59983,12.0,1.0,2.0,Choice Start,2,-395948,-1583.792,False,1,54,54,2.0,Choice
-1582.272,61503,13.0,1.0,2.0,Choice End,2,-395568,-1582.272,False,1,54,54,2.0,Choice
-1582.272,61503,14.0,1.0,2.0,Feedback Start,2,-395568,-1582.272,False,1,54,54,2.0,
