LFP_Left,LFP_Right
-10.677531186995555,17.060786610478498
-29.47073550080845,27.680199248895313
-23.711516218486814,19.991163874495257
-27.622499107881946,24.875867223442487
-27.58847566580534,21.4041353031362
-25.08240213216711,8.76337803017098
-31.622195657098555,9.66024542092278
-27.091380794651375,9.483749156579334
-29.378171567627113,8.644036270472768
-31.251526275141874,5.44632649974354
-25.850427807037345,4.041376656446713
-25.467200293804673,8.388710332359086
-24.115160103222948,7.429625479907011
-27.486429833597178,8.64068613328046
-24.907114024141094,8.23691206900731
-24.03004834439368,8.38933639652899
-22.287985201701826,15.11588136851268
-17.79868403738393,25.217694909715906
-18.876051961394868,28.61730407108054
-21.28036144945648,23.82217060353621
-23.703158102758092,22.37664778510313
-15.784440344521624,25.10522366723497
-11.156304382234625,32.41019186362262
-7.574892864165555,40.03168943720707
-6.243980642765998,51.14104612225133
-14.564613459909756,58.59980023419959
-18.19990058622177,52.205074445308895
-28.595171803639126,48.67184587670538
-36.57297411965767,43.95636275456828
-39.22470184147615,35.14433805221127
-35.710484771820745,27.001093440600865
-29.130750644148158,20.935615486453134
-27.48420677655046,13.223470482751074
-21.821453040608585,2.2374747925025673
-23.491484834538735,-1.3760212024333107
-26.063055787527258,-4.0094093981723695
-26.066897504227132,-2.8991026959155435
-22.620995314449626,-0.3056319979287603
-19.30618016512244,-2.3036184504625683
-19.83044368667734,-2.973222410878209
-18.82174287086271,-4.014570049107582
-20.05904063890214,-7.268672161279977
-11.831772283127686,-10.186125468742254
-5.457287134145112,-2.8916590496362486
-2.3263978002044885,2.0196443568661357
-1.9689486434635535,1.4795683033933513
-7.373564776268307,5.105857039964017
-7.110251495204123,2.441764012941001
-9.429471720220779,-1.9016864572840095
-6.106673048319238,-6.1876349110800755
-7.053634441620388,-9.289867807566448
-7.558953409064436,-9.98269430316431
-2.960250758336054,-8.869117636430616
-2.933169901565608,-6.025574526097457
3.489928490298833,-6.64014096313742
2.4698498506127633,-5.265684493466882
0.990953700140827,-2.7898273763675836
0.35593682511995683,-3.5813257035683477
-2.809489843076346,-6.947730522051408
0.9968468858139333,-5.859926167508756
2.3669389759027077,-4.385229793032246
-4.076718374098527,-7.472651104487895
-9.317934717373268,-7.536488800399498
-3.292849477160071,-8.0089703595263
-3.765327554207928,-8.899934363032795
-3.452928130080411,-13.168901973003328
1.397421622912147,-14.702977161567384
3.7684509277092255,-14.492341270368328
8.25721073076989,-20.800425965078812
5.560460141090184,-21.490170713594175
7.0613835697090295,-19.837163769485144
-0.47204115462015495,-16.349293267315176
-8.76955403051105,-14.589825871124786
-4.384657403778825,-16.643504544089147
-3.453484026487307,-15.281434736916298
3.3275292064773483,-13.79440227323997
5.303778369098776,-9.125155036270202
0.821941593444363,-4.98705935155589
0.9877168493283494,-4.125497771095336
8.947519511593752,-6.612386158752605
14.229916035100358,-8.396469520249592
10.402221464985516,-3.9078221517646656
5.750600128284381,3.373298006527432
-0.8019540221606684,6.713977044086354
-3.55031812726163,5.2724060118663365
-7.979370950468095,12.416672251612674
-4.384403704822604,19.26744226016627
-0.38665800360357033,22.478349947597405
-3.9777471001411593,24.46900251710547
-2.421369404058898,18.282374927246146
-7.981168040729021,18.160397018810645
-10.671053170683823,21.971204403430317
-13.364655861262044,23.962992643835463
-13.766895037329174,27.28412589899947
-11.02328558199823,29.625077925819514
-13.62349961049412,27.87921705175533
-11.801524231453676,27.367178501542696
-13.19019943975095,26.73733533061676
-9.067511462263308,16.869766977063072
-13.60397621243845,20.30239110743995
-26.570052425719474,29.06225738959112
-24.64843842579918,24.28453641616352
-20.222871013170256,23.124640941802575
-17.229033956418824,25.69922016337667
-18.383491145192558,27.94283291835173
-23.114985101619236,28.19600877025193
-27.977817200812314,26.644793408305205
-26.313370914916614,21.323957735584443
-22.618029191025755,12.51074091297736
-20.10807963899134,10.892856357337948
-19.551919140951007,17.730449503138374
-21.671915879051472,21.778677401969937
-11.627498269591582,17.380422477555157
-7.405039066457298,15.805959955103589
-5.695542343093648,15.817621950467348
-3.0152052716961553,16.118886644501977
-4.9282550214237,16.444160674795427
-2.129942369071465,14.499880332158702
-7.745100146393586,14.22000103283675
-8.410933641484526,9.300668892335324
-8.316982507966248,5.636498998736438
-9.222366770989858,4.401405358822806
0.5804307848255412,5.238133687400144
6.982450261844326,8.315115714902916
4.703397332365646,9.106389733640688
-0.47383105173201845,12.956958928540212
2.774890090393205,13.93333481885293
1.5474871265104462,11.553208178864594
1.2093312595764423,5.204372268135105
5.696941051924957,-0.6644747841832993
5.6765249219345115,-1.297082984458848
6.546756664894786,-2.37930044670584
4.175792510203122,0.1678401896709846
5.985041000110948,1.8650157222903134
3.2259705995069994,0.8809235929536596
0.43551366641432565,-0.29401068529811114
0.8658997333511762,1.5445994997396362
-1.9892566069262658,3.101792625065192
-2.4316997970379752,1.4087131852635641
-6.509095432293915,-2.5918708706471567
-2.7535614552652294,-11.124734634240614
-0.5157207608225027,-9.525884295445108
-1.287553891032856,-6.3157346585403715
2.3935529828059137,-6.923835970300716
5.992853898033028,-2.6488131008464606
5.4709750362021525,0.7432038891967231
-0.3273358924365274,2.6935699710911343
8.383835030018872,0.711864759217635
8.070438316477242,6.591977630895544
1.4979739933142682,11.463771913965937
8.39048518275524,6.009572132930952
11.278717582056673,6.084158959362066
10.86023314735163,6.764685619860942
9.120093285518246,3.507901421407911
12.828045214067934,0.04812451575281257
8.943416623640204,4.032244952206415
3.0530601807106006,6.6930081720104
3.349614014984304,2.870209754480863
-1.7838036867822014,1.135097058790323
-3.0980095051334273,-1.6871111014412152
-6.406261313254827,0.5206314634839861
-10.44640633586423,4.233093780324694
-10.099850337397514,1.8812581494734395
-1.8675040212275529,-3.2167767010630195
